Tarih,Zaman,SO2,NO2,O3
01.01.2015,0:00,"4,40","16,00","52,80"
01.01.2015,1:00,"4,10","12,20","57,70"
01.01.2015,2:00,"4,00","11,20","59,40"
01.01.2015,3:00,"3,80","12,20","57,10"
01.01.2015,4:00,"3,70","12,60","55,10"
01.01.2015,5:00,"4,20","13,00","54,20"
01.01.2015,6:00,"4,20","13,60","53,00"
01.01.2015,7:00,"4,30","10,10",
01.01.2015,8:00,"3,90","10,50","60,60"
01.01.2015,9:00,,"16,10","54,40"
01.01.2015,10:00,"4,40","18,60","53,80"
01.01.2015,11:00,"5,20",,"46,30"
01.01.2015,12:00,"5,80","23,90","45,30"
01.01.2015,13:00,"6,10","24,30","44,80"
01.01.2015,14:00,"6,20","15,40","53,90"
01.01.2015,15:00,"6,30","10,00","58,70"
01.01.2015,16:00,"5,30","10,40","58,40"
01.01.2015,17:00,"5,30","10,10","60,20"
01.01.2015,18:00,"4,10","14,10","56,10"
01.01.2015,19:00,"4,60","25,50","43,10"
01.01.2015,20:00,"5,30","16,00","57,50"
01.01.2015,21:00,"5,40","10,40","67,40"
01.01.2015,22:00,"5,70","16,00","57,40"
01.01.2015,23:00,"5,50","17,60","58,30"
02.01.2015,0:00,"5,30","23,70","50,40"
02.01.2015,1:00,"4,90","14,10","62,70"
02.01.2015,2:00,"4,80","15,10","58,50"
02.01.2015,3:00,"4,70","18,50","57,80"
02.01.2015,4:00,"3,30","8,80","70,60"
02.01.2015,5:00,"3,80","10,20","68,10"
02.01.2015,6:00,"3,90","11,40","65,30"
02.01.2015,7:00,"3,70","13,10","64,90"
02.01.2015,8:00,"4,30","19,70",
02.01.2015,9:00,"4,60","19,60","57,50"
02.01.2015,10:00,,"26,20","50,40"
02.01.2015,11:00,"4,70","25,60","53,30"
02.01.2015,12:00,"6,00",,"54,30"
02.01.2015,13:00,"6,00","23,40","56,80"
02.01.2015,14:00,"5,60","24,40","53,80"
02.01.2015,15:00,"5,20","27,10","49,70"
02.01.2015,16:00,"4,50","32,20","45,00"
02.01.2015,17:00,"5,90","38,00","35,60"
02.01.2015,18:00,"5,80","40,60","33,40"
02.01.2015,19:00,"5,50","30,20","45,00"
02.01.2015,20:00,"7,00","41,50","30,50"
02.01.2015,21:00,"8,90","54,90","16,50"
02.01.2015,22:00,"11,70","60,60","7,80"
02.01.2015,23:00,"10,10","56,60","6,90"
03.01.2015,0:00,"8,20","46,20","17,40"
03.01.2015,1:00,"5,60","34,10","24,70"
03.01.2015,2:00,"7,10","29,30","32,70"
03.01.2015,3:00,"6,70","35,10","24,20"
03.01.2015,4:00,"6,20","29,60","26,90"
03.01.2015,5:00,"6,30","39,60","16,00"
03.01.2015,6:00,"6,80","41,50","11,40"
03.01.2015,7:00,"9,60","42,80","6,30"
03.01.2015,8:00,"9,30","38,00","14,90"
03.01.2015,9:00,"10,50","44,00",
03.01.2015,10:00,"11,20","41,10","13,80"
03.01.2015,11:00,,"41,50","26,80"
03.01.2015,12:00,"8,60","9,70","63,20"
03.01.2015,13:00,"7,70",,"60,80"
03.01.2015,14:00,"7,40","13,10","57,20"
03.01.2015,15:00,"8,20","21,00","46,50"
03.01.2015,16:00,"9,70","20,90","47,90"
03.01.2015,17:00,"8,90","19,60","51,20"
03.01.2015,18:00,"9,40","22,30","47,70"
03.01.2015,19:00,"12,60","22,30","49,10"
03.01.2015,20:00,"10,00","17,10","54,40"
03.01.2015,21:00,"12,70","21,90","48,80"
03.01.2015,22:00,"12,80","17,70","53,40"
03.01.2015,23:00,"10,70","15,50","57,90"
04.01.2015,0:00,"10,70","23,50","46,40"
04.01.2015,1:00,"12,10","34,10","34,70"
04.01.2015,2:00,"10,20","18,00","53,30"
04.01.2015,3:00,"9,00","10,60","60,90"
04.01.2015,4:00,"8,80","15,90","49,70"
04.01.2015,5:00,"7,90","15,00","50,70"
04.01.2015,6:00,"7,80","21,90","37,30"
04.01.2015,7:00,"9,10","31,80","20,50"
04.01.2015,8:00,"15,30","44,70","6,70"
04.01.2015,9:00,"14,50","43,20","7,40"
04.01.2015,10:00,"16,70","46,30",
04.01.2015,11:00,"17,10","45,50","12,60"
04.01.2015,12:00,,"50,10","16,90"
04.01.2015,13:00,"23,60","57,00","30,30"
04.01.2015,14:00,"17,60",,"66,90"
04.01.2015,15:00,"14,30","19,60","70,60"
04.01.2015,16:00,"15,60","25,10","64,00"
04.01.2015,17:00,"13,60","19,30","69,40"
04.01.2015,18:00,"9,70","46,50","27,20"
04.01.2015,19:00,"8,30","24,40","58,90"
04.01.2015,20:00,"9,50","18,30","62,90"
04.01.2015,21:00,"8,10","15,20","67,10"
04.01.2015,22:00,"8,50","7,50","71,50"
04.01.2015,23:00,"7,30","15,70","59,00"
05.01.2015,0:00,"6,90","16,90","56,10"
05.01.2015,1:00,"7,40","16,90","57,70"
05.01.2015,2:00,"7,50","17,90","56,30"
05.01.2015,3:00,"7,30","14,30","63,80"
05.01.2015,4:00,"6,40","12,70","63,60"
05.01.2015,5:00,"6,60","18,80","52,30"
05.01.2015,6:00,"6,50","25,80","41,70"
05.01.2015,7:00,"7,40","33,90","29,30"
05.01.2015,8:00,"9,30","55,40","9,50"
05.01.2015,9:00,"11,00","63,10","6,00"
05.01.2015,10:00,"8,20","20,50","58,90"
05.01.2015,11:00,"6,20","10,40",
05.01.2015,12:00,"9,70","28,40","48,90"
