Tarih,Zaman,PM10,NO2,CO
01.01.2015,0:00,"62,10","46,90","2300,00"
01.01.2015,1:00,"76,20","51,20","2800,00"
01.01.2015,2:00,"84,70","65,40","2000,00"
01.01.2015,3:00,"49,00","67,60",
01.01.2015,4:00,"42,40","66,80","1800,00"
01.01.2015,5:00,"35,00",,"1200,00"
01.01.2015,6:00,"20,30","25,40","800,00"
01.01.2015,7:00,"16,20","22,70","700,00"
01.01.2015,8:00,"10,20","35,80","700,00"
01.01.2015,9:00,"14,30","40,10","600,00"
01.01.2015,10:00,"21,80","33,30","700,00"
01.01.2015,11:00,"31,20","59,00","1100,00"
01.01.2015,12:00,"46,40","43,80","1000,00"
01.01.2015,13:00,"30,30","47,00","1000,00"
01.01.2015,14:00,"27,60","47,30","1100,00"
01.01.2015,15:00,"32,60","51,50","1200,00"
01.01.2015,16:00,"33,70","53,50","1200,00"
01.01.2015,17:00,"27,10","56,00","1200,00"
01.01.2015,18:00,"28,60","54,60","1300,00"
01.01.2015,19:00,"30,70","55,10","1100,00"
01.01.2015,20:00,"31,70","47,00","1000,00"
01.01.2015,21:00,"28,30","41,30","900,00"
01.01.2015,22:00,"25,60","37,50","900,00"
01.01.2015,23:00,"30,00","34,30","900,00"
02.01.2015,0:00,"29,50","46,90","1100,00"
02.01.2015,1:00,"31,20","34,80","900,00"
02.01.2015,2:00,"25,10","21,30","700,00"
02.01.2015,3:00,"18,50","18,00","700,00"
02.01.2015,4:00,"13,70","13,40",
02.01.2015,5:00,"14,10","12,70","500,00"
02.01.2015,6:00,"8,90",,"500,00"
02.01.2015,7:00,"6,70","41,00","800,00"
02.01.2015,8:00,"19,00","54,20","700,00"
02.01.2015,9:00,"25,70","67,20","1100,00"
02.01.2015,10:00,"30,00","67,70","1300,00"
02.01.2015,11:00,"35,30","70,80","1300,00"
02.01.2015,12:00,"38,30","64,90","1400,00"
02.01.2015,13:00,"43,10","53,30","900,00"
02.01.2015,14:00,"42,70","56,60","1400,00"
02.01.2015,15:00,"46,10","80,10","1500,00"
02.01.2015,16:00,"59,30","82,60","1500,00"
02.01.2015,17:00,"55,70","87,80","1500,00"
02.01.2015,18:00,"65,60","96,60","1900,00"
02.01.2015,19:00,"77,30","78,20","2000,00"
02.01.2015,20:00,"54,40","73,90","1800,00"
02.01.2015,21:00,"76,10","63,30","2600,00"
02.01.2015,22:00,"99,20","59,20","1400,00"
02.01.2015,23:00,"60,30","65,90","2400,00"
03.01.2015,0:00,"92,50","57,50","1900,00"
03.01.2015,1:00,"74,00","58,60","2200,00"
03.01.2015,2:00,"85,80","56,00","3200,00"
03.01.2015,3:00,"88,40","49,40","2200,00"
03.01.2015,4:00,"71,70","47,70","3000,00"
03.01.2015,5:00,"76,80","42,60",
03.01.2015,6:00,"52,10","45,20","2100,00"
03.01.2015,7:00,"51,80",,"1600,00"
03.01.2015,8:00,"51,40","70,30","2200,00"
03.01.2015,9:00,"79,90","68,40","2400,00"
03.01.2015,10:00,"89,60","74,40","2200,00"
03.01.2015,11:00,"101,50","75,20","1900,00"
03.01.2015,12:00,"94,30","65,80","1400,00"
03.01.2015,13:00,"88,50","49,20","1300,00"
03.01.2015,14:00,"87,80","69,10","1400,00"
03.01.2015,15:00,"82,90","76,20","1700,00"
03.01.2015,16:00,"92,90","75,40","1600,00"
03.01.2015,17:00,"77,40","66,20","1500,00"
03.01.2015,18:00,"64,70","67,00","1700,00"
03.01.2015,19:00,"79,60","67,00","1600,00"
03.01.2015,20:00,"66,50","66,50","1500,00"
03.01.2015,21:00,"69,60","73,00","1600,00"
03.01.2015,22:00,"0,00",,
03.01.2015,23:00,"0,00","74,30","2000,00"
04.01.2015,0:00,"81,20","55,40","1400,00"
04.01.2015,1:00,"57,40","48,50","1200,00"
04.01.2015,2:00,"45,40","30,80","1100,00"
04.01.2015,3:00,"42,50","26,70","700,00"
04.01.2015,4:00,"29,00","24,10","600,00"
04.01.2015,5:00,"28,90","36,00",
04.01.2015,6:00,"37,90","40,20","2000,00"
04.01.2015,7:00,"43,30","48,80","1700,00"
04.01.2015,8:00,"50,50",,"1400,00"
04.01.2015,9:00,"48,50","53,80","1400,00"
04.01.2015,10:00,"55,70","57,30","1400,00"
04.01.2015,11:00,"60,50","65,00","1400,00"
04.01.2015,12:00,"97,50","69,70","1900,00"
04.01.2015,13:00,"147,20","59,10","1200,00"
04.01.2015,14:00,"88,40","54,10","800,00"
04.01.2015,15:00,"51,10","56,50","900,00"
04.01.2015,16:00,"41,70","59,20","1000,00"
04.01.2015,17:00,"30,60","59,00","1100,00"
04.01.2015,18:00,"28,50","70,50","1600,00"
04.01.2015,19:00,"54,20","82,50","2100,00"
04.01.2015,20:00,"82,30","83,30","1700,00"
04.01.2015,21:00,"50,30","50,50","1200,00"
04.01.2015,22:00,"38,70","38,40","1000,00"
04.01.2015,23:00,"22,10","52,20","1100,00"
05.01.2015,0:00,"25,00","42,20","1200,00"
05.01.2015,1:00,"29,10","38,60","1200,00"
05.01.2015,2:00,"20,20","35,60","1000,00"
05.01.2015,3:00,"19,80","28,70","800,00"
05.01.2015,4:00,"14,20","18,00","700,00"
05.01.2015,5:00,"13,10","22,50","600,00"
05.01.2015,6:00,"12,60","30,60",
05.01.2015,7:00,"14,00","42,10","700,00"
05.01.2015,8:00,"18,70","80,10","1600,00"
05.01.2015,9:00,"45,90",,"1900,00"
05.01.2015,10:00,"57,10","33,30","700,00"
05.01.2015,11:00,"29,10","44,10","900,00"
05.01.2015,12:00,"24,90","71,10","1300,00"
05.01.2015,13:00,"33,10","61,20","1000,00"
05.01.2015,14:00,"30,30","57,50","900,00"
05.01.2015,15:00,"30,10","78,60","1400,00"
05.01.2015,16:00,"33,60","73,60","1100,00"
05.01.2015,17:00,"48,80","79,70","1300,00"
05.01.2015,18:00,"62,40","84,80","2600,00"
05.01.2015,19:00,"98,90","97,10","2900,00"
05.01.2015,20:00,"101,70","55,70","1200,00"
05.01.2015,21:00,"49,50","63,30","900,00"
05.01.2015,22:00,"31,70","64,60","1000,00"
05.01.2015,23:00,"33,80","45,60","900,00"
06.01.2015,0:00,"25,60","62,30","1000,00"
06.01.2015,1:00,"30,40","62,70","1000,00"
06.01.2015,2:00,"23,80","46,30","900,00"
06.01.2015,3:00,"25,30","62,40","600,00"
06.01.2015,4:00,"30,40","58,30","1200,00"
06.01.2015,5:00,"27,20","40,10","600,00"
06.01.2015,6:00,"11,00","30,10","500,00"
06.01.2015,7:00,"10,90","47,30",
06.01.2015,8:00,"11,60","91,20","1100,00"
06.01.2015,9:00,"25,50","95,30","1300,00"
06.01.2015,10:00,"28,40","94,10","1500,00"
06.01.2015,11:00,"33,30","77,90","1400,00"
06.01.2015,12:00,"44,40","73,80","1200,00"
06.01.2015,13:00,"36,00","79,00","1200,00"
06.01.2015,14:00,"42,60","82,10","1500,00"
06.01.2015,15:00,"43,10","84,60","1600,00"
06.01.2015,16:00,"40,00","86,30","1400,00"
06.01.2015,17:00,"33,30","77,80","1300,00"
06.01.2015,18:00,"39,30","74,80","1100,00"
06.01.2015,19:00,"36,80","65,10","1000,00"
06.01.2015,20:00,"32,40","74,40","1300,00"
06.01.2015,21:00,"34,90","73,30","1300,00"
06.01.2015,22:00,"31,80","77,10","2100,00"
06.01.2015,23:00,"30,40","67,00","1300,00"
07.01.2015,0:00,"29,50","75,10","1500,00"
07.01.2015,1:00,"30,50","61,50","1100,00"
07.01.2015,2:00,"23,60","39,00","1400,00"
07.01.2015,3:00,"11,80","22,50","700,00"
07.01.2015,4:00,"8,40","14,30","500,00"
07.01.2015,5:00,"6,50","13,30","400,00"
07.01.2015,6:00,"11,50","5,50","300,00"
07.01.2015,7:00,"11,30","9,50","300,00"
07.01.2015,8:00,"14,90","32,10",
07.01.2015,9:00,"22,40","59,50","700,00"
07.01.2015,10:00,"24,50","47,90","600,00"
07.01.2015,11:00,"26,60",,"600,00"
07.01.2015,12:00,"24,70","39,10","700,00"
07.01.2015,13:00,"25,40","30,60","600,00"
07.01.2015,14:00,"23,70","35,40","700,00"
07.01.2015,15:00,"28,60","43,90","700,00"
07.01.2015,16:00,"32,10","50,40","700,00"
07.01.2015,17:00,"19,30","46,70","700,00"
07.01.2015,18:00,"24,20","59,00","700,00"
07.01.2015,19:00,"24,10","46,90","700,00"
07.01.2015,20:00,"22,80","25,20","500,00"
07.01.2015,21:00,"27,60","27,60","600,00"
07.01.2015,22:00,"20,10","46,30","700,00"
07.01.2015,23:00,"22,50","30,20","500,00"
08.01.2015,0:00,"18,60","37,90","600,00"
08.01.2015,1:00,"14,60","32,40","500,00"
08.01.2015,2:00,"16,00","28,70","500,00"
08.01.2015,3:00,"12,50","15,00","400,00"
08.01.2015,4:00,"8,50","18,70","400,00"
08.01.2015,5:00,"7,40","13,90","400,00"
08.01.2015,6:00,"13,10","11,00","400,00"
08.01.2015,7:00,"9,50","24,00","400,00"
08.01.2015,8:00,"12,60","61,80","600,00"
08.01.2015,9:00,"21,70","49,20",
08.01.2015,10:00,"26,90","46,40","700,00"
08.01.2015,11:00,"25,20","30,30","600,00"
08.01.2015,12:00,"21,60",,"600,00"
08.01.2015,13:00,"26,60","37,30","600,00"
08.01.2015,14:00,"24,40","46,10","800,00"
08.01.2015,15:00,"33,40","52,70","800,00"
08.01.2015,16:00,"29,60","39,60","700,00"
08.01.2015,17:00,"25,10","45,00","700,00"
08.01.2015,18:00,"32,30","59,90","1100,00"
08.01.2015,19:00,"58,80","68,10","1600,00"
08.01.2015,20:00,"77,70","41,50","900,00"
08.01.2015,21:00,"54,70","58,20","800,00"
08.01.2015,22:00,"36,70","46,20","800,00"
08.01.2015,23:00,"31,70","53,40","800,00"
09.01.2015,0:00,"28,90","49,00","800,00"
09.01.2015,1:00,"28,80","46,00","800,00"
09.01.2015,2:00,"30,00","27,30","1000,00"
09.01.2015,3:00,"24,10","30,40","600,00"
09.01.2015,4:00,"18,20","34,00","600,00"
09.01.2015,5:00,"17,30","38,20","500,00"
09.01.2015,6:00,"18,30","47,70","600,00"
09.01.2015,7:00,"15,20","51,50","600,00"
09.01.2015,8:00,"23,00","75,00","1000,00"
09.01.2015,9:00,"30,90","56,00","800,00"
09.01.2015,10:00,"47,10","60,60",
09.01.2015,11:00,"41,30","46,20","500,00"
09.01.2015,12:00,"26,70","42,30","500,00"
09.01.2015,13:00,"20,40",,"400,00"
09.01.2015,14:00,"20,60","46,10","700,00"
09.01.2015,15:00,"22,00","56,20","800,00"
09.01.2015,16:00,"28,40","66,80","1100,00"
09.01.2015,17:00,"42,30","72,30","1000,00"
09.01.2015,18:00,"38,90","85,50","1300,00"
09.01.2015,19:00,"33,40","85,70","1100,00"
09.01.2015,20:00,"24,70","74,60","1000,00"
09.01.2015,21:00,"26,80","68,60","1000,00"
09.01.2015,22:00,"31,40","59,40","700,00"
09.01.2015,23:00,"24,00","64,10","900,00"
10.01.2015,0:00,"24,90","56,10","800,00"
10.01.2015,1:00,"25,40","45,10","600,00"
10.01.2015,2:00,"22,70","32,70","500,00"
10.01.2015,3:00,"12,30","25,60","500,00"
10.01.2015,4:00,"9,40","21,40","500,00"
10.01.2015,5:00,"13,50","17,60","400,00"
10.01.2015,6:00,"10,20","25,60","500,00"
10.01.2015,7:00,"10,70","25,40","500,00"
10.01.2015,8:00,"12,50","66,00","800,00"
10.01.2015,9:00,"22,10","70,00","800,00"
10.01.2015,10:00,"26,20","53,30","800,00"
10.01.2015,11:00,"25,40","49,10",
10.01.2015,12:00,"23,80","53,00","800,00"
10.01.2015,13:00,"21,70","66,50","1300,00"
10.01.2015,14:00,"30,80",,"1300,00"
10.01.2015,15:00,"38,80","89,90","1600,00"
10.01.2015,16:00,"35,70","55,70","1500,00"
10.01.2015,17:00,"37,70","90,00","2000,00"
10.01.2015,18:00,"52,50","78,60","3800,00"
10.01.2015,19:00,"179,10","73,70","5100,00"
10.01.2015,20:00,"0,00","88,70","6900,00"
10.01.2015,21:00,"0,00","92,90","8600,00"
10.01.2015,22:00,"0,00","77,20","10100,00"
10.01.2015,23:00,"0,00","82,50","7800,00"
11.01.2015,0:00,"245,50","86,20","6700,00"
11.01.2015,1:00,"228,90","73,30","5700,00"
11.01.2015,2:00,"149,60","65,10","6900,00"
11.01.2015,3:00,"168,10","55,90","3900,00"
11.01.2015,4:00,"91,10","53,40","3000,00"
11.01.2015,5:00,"74,30","53,20","2700,00"
11.01.2015,6:00,"60,30","52,00","2200,00"
11.01.2015,7:00,"52,70","55,50","2000,00"
11.01.2015,8:00,"46,30","64,80","2500,00"
11.01.2015,9:00,"76,00","75,40","3500,00"
11.01.2015,10:00,"95,10","97,40","3800,00"
11.01.2015,11:00,"105,60","93,20","3100,00"
11.01.2015,12:00,"91,90","93,50",
11.01.2015,13:00,"81,20","48,50","1000,00"
11.01.2015,14:00,"41,60","48,50","1100,00"
11.01.2015,15:00,"47,40",,"1100,00"
11.01.2015,16:00,"53,60","52,10","1000,00"
11.01.2015,17:00,"53,80","75,30","1600,00"
11.01.2015,18:00,"74,10","77,60","1900,00"
11.01.2015,19:00,"75,60","78,20","3200,00"
11.01.2015,20:00,"135,90","83,10","5500,00"
11.01.2015,21:00,"192,90","66,50","3500,00"
11.01.2015,22:00,"118,30","66,70","4700,00"
11.01.2015,23:00,"158,30","65,20","3100,00"
12.01.2015,0:00,"105,40","74,20","2800,00"
12.01.2015,1:00,"80,00","37,50","600,00"
12.01.2015,2:00,"32,00","26,80","700,00"
12.01.2015,3:00,"17,80","34,50","1200,00"
12.01.2015,4:00,"25,40","30,70","1200,00"
12.01.2015,5:00,"21,60","33,40","1300,00"
12.01.2015,6:00,"19,70","57,00","2100,00"
12.01.2015,7:00,"31,90","54,40","1600,00"
12.01.2015,8:00,"29,80","64,60","1500,00"
12.01.2015,9:00,"34,90","77,00","1600,00"
12.01.2015,10:00,"34,80","30,70","800,00"
12.01.2015,11:00,"16,20","51,00","1000,00"
12.01.2015,12:00,"17,70","46,60","1000,00"
12.01.2015,13:00,"14,30","52,50",
12.01.2015,14:00,"20,20","79,30","1400,00"
12.01.2015,15:00,"37,40","113,40","2100,00"
12.01.2015,16:00,"39,20",,"1900,00"
12.01.2015,17:00,"42,70","105,00","3000,00"
12.01.2015,18:00,"62,80","107,10","4000,00"
12.01.2015,19:00,"155,20","112,50","4000,00"
12.01.2015,20:00,"107,30","118,30","4500,00"
12.01.2015,21:00,"120,90","98,80","3900,00"
12.01.2015,22:00,"147,00","75,70","1600,00"
12.01.2015,23:00,"54,80","63,90","1500,00"
13.01.2015,0:00,"53,30","52,10","1200,00"
13.01.2015,1:00,"35,90","61,90","1400,00"
13.01.2015,2:00,"33,00","62,10","1500,00"
13.01.2015,3:00,"30,50","66,30","1400,00"
13.01.2015,4:00,"33,20","58,70","2500,00"
13.01.2015,5:00,"31,50","35,50","1700,00"
13.01.2015,6:00,"19,20","35,30","1200,00"
13.01.2015,7:00,"14,90","26,80","900,00"
13.01.2015,8:00,"19,00","45,50","1100,00"
13.01.2015,9:00,"37,60","46,90","1200,00"
13.01.2015,10:00,"43,60","51,70","1200,00"
13.01.2015,11:00,"46,00","41,60","1000,00"
13.01.2015,12:00,"41,40","41,40","1100,00"
13.01.2015,13:00,"49,80","51,40","1100,00"
13.01.2015,14:00,"39,80","56,80",
13.01.2015,15:00,"36,30","68,60","1200,00"
13.01.2015,16:00,"46,80","65,50","1100,00"
13.01.2015,17:00,"47,40",,"1400,00"
13.01.2015,18:00,"63,00","68,60","1500,00"
13.01.2015,19:00,"84,30","67,50","1700,00"
13.01.2015,20:00,"78,50","60,90","1700,00"
13.01.2015,21:00,"80,20","70,70","2600,00"
13.01.2015,22:00,"113,60","70,30","2700,00"
13.01.2015,23:00,"91,70","60,90","2500,00"
14.01.2015,0:00,"85,00","64,90","2200,00"
14.01.2015,1:00,"77,90","67,10","2200,00"
14.01.2015,2:00,"75,00","45,50","2100,00"
14.01.2015,3:00,"56,40","46,00","2000,00"
14.01.2015,4:00,"56,10","51,90","2000,00"
14.01.2015,5:00,"67,10","39,20","1800,00"
14.01.2015,6:00,"40,60","44,00","2100,00"
14.01.2015,7:00,"45,80","49,40","2100,00"
14.01.2015,8:00,"49,50","67,10","2400,00"
14.01.2015,9:00,"73,60","73,00","2600,00"
14.01.2015,10:00,"103,44",,
14.01.2015,11:00,"103,40","77,50","2000,00"
14.01.2015,12:00,"119,40","82,50","1700,00"
14.01.2015,13:00,"121,90","85,10","1400,00"
14.01.2015,14:00,"127,30","82,00","1700,00"
14.01.2015,15:00,"118,60","95,40","1600,00"
14.01.2015,16:00,"102,60","96,00","1500,00"
14.01.2015,17:00,"125,80","99,60","1900,00"
14.01.2015,18:00,"134,20","67,00","2100,00"
14.01.2015,19:00,"108,40","73,80","2300,00"
14.01.2015,20:00,"97,60","81,10","3000,00"
14.01.2015,21:00,"95,40","74,20","3800,00"
14.01.2015,22:00,"154,40","74,50","4300,00"
14.01.2015,23:00,"160,60","73,00","4300,00"
15.01.2015,0:00,"143,00","61,40","3000,00"
15.01.2015,1:00,"112,70","58,00","3600,00"
15.01.2015,2:00,"123,20","55,40","2300,00"
15.01.2015,3:00,"90,50","50,00","2400,00"
15.01.2015,4:00,"84,20","42,30","2300,00"
15.01.2015,5:00,"70,20","40,10","2000,00"
15.01.2015,6:00,"67,40","40,40","2000,00"
15.01.2015,7:00,"68,80","45,80","1800,00"
15.01.2015,8:00,"71,30","59,60","2000,00"
15.01.2015,9:00,"102,30","64,40","2900,00"
15.01.2015,10:00,"144,80","71,40","3000,00"
15.01.2015,11:00,"154,10","80,80","3000,00"
15.01.2015,12:00,"155,30","91,90","2800,00"
15.01.2015,13:00,"174,80","91,60","2400,00"
15.01.2015,14:00,"212,00","100,70","2500,00"
15.01.2015,15:00,"192,00","75,20","2200,00"
15.01.2015,16:00,"133,10","79,20","1800,00"
15.01.2015,17:00,"101,50","90,30","2100,00"
15.01.2015,18:00,"102,30","88,40","2500,00"
15.01.2015,19:00,"116,50","82,50","2300,00"
15.01.2015,20:00,"109,20","67,30","2600,00"
15.01.2015,21:00,"145,30","69,70","3900,00"
15.01.2015,22:00,"176,40","77,70","6400,00"
15.01.2015,23:00,"246,80","59,00","2500,00"
16.01.2015,0:00,"100,60","65,00","2500,00"
16.01.2015,1:00,"102,80","56,70","3900,00"
16.01.2015,2:00,"146,30","52,70","5400,00"
16.01.2015,3:00,"169,40","46,90","4400,00"
16.01.2015,4:00,"130,90","41,70","3200,00"
16.01.2015,5:00,"95,50","44,40","3100,00"
16.01.2015,6:00,"73,80","18,80","1000,00"
16.01.2015,7:00,"48,90","13,60","800,00"
16.01.2015,8:00,"49,20","37,10","1100,00"
16.01.2015,9:00,"59,50","58,30","1300,00"
16.01.2015,10:00,"68,90","60,30","1300,00"
16.01.2015,11:00,"70,70","50,70","1000,00"
16.01.2015,12:00,"66,70","33,00","800,00"
16.01.2015,13:00,"66,20","52,90","1000,00"
16.01.2015,14:00,"126,80","83,50","1500,00"
16.01.2015,15:00,"148,40","90,10","1400,00"
16.01.2015,16:00,"137,20","82,80","1400,00"
16.01.2015,17:00,"130,40","65,10","1500,00"
16.01.2015,18:00,"105,00","68,20","1500,00"
16.01.2015,19:00,"108,50","82,60","1800,00"
16.01.2015,20:00,"114,00","73,80","1700,00"
16.01.2015,21:00,"105,50","69,00","1700,00"
16.01.2015,22:00,"104,70","64,20","2000,00"
16.01.2015,23:00,"116,10","69,00","2300,00"
17.01.2015,0:00,"117,40","67,80","2100,00"
17.01.2015,1:00,"110,70","62,50","2500,00"
17.01.2015,2:00,"123,60","60,80","2300,00"
17.01.2015,3:00,"101,00","53,80","3400,00"
17.01.2015,4:00,"108,10","48,90","3200,00"
17.01.2015,5:00,"91,40","45,50","2200,00"
17.01.2015,6:00,"82,90","42,40","1700,00"
17.01.2015,7:00,"70,30","50,60","2200,00"
17.01.2015,8:00,"82,80","63,80","2200,00"
17.01.2015,9:00,"89,80","71,40","2800,00"
17.01.2015,10:00,"122,70","69,60","2200,00"
17.01.2015,11:00,"120,30","63,70","1600,00"
17.01.2015,12:00,"111,40","75,40","1700,00"
17.01.2015,13:00,"163,00","73,90","1400,00"
17.01.2015,14:00,"136,60","65,80","1200,00"
17.01.2015,15:00,"112,20","110,30","1700,00"
17.01.2015,16:00,"136,40","105,40","1600,00"
17.01.2015,17:00,"165,30","102,70","3200,00"
17.01.2015,18:00,,"104,90","6200,00"
17.01.2015,19:00,"0,00","114,40","6100,00"
17.01.2015,20:00,"0,00","122,00","8100,00"
17.01.2015,21:00,"0,00","112,50","8000,00"
17.01.2015,22:00,"0,00","95,60","8500,00"
17.01.2015,23:00,"0,00","89,00","7900,00"
18.01.2015,0:00,"0,00","80,40","6700,00"
18.01.2015,1:00,"242,60","70,00","4200,00"
18.01.2015,2:00,"152,90","59,80","3700,00"
18.01.2015,3:00,"137,30","55,90","3700,00"
18.01.2015,4:00,"123,40","49,60","2900,00"
18.01.2015,5:00,"96,60","47,20","2300,00"
18.01.2015,6:00,"78,20","45,10","2100,00"
18.01.2015,7:00,"62,40","49,80","2500,00"
18.01.2015,8:00,"74,60","65,70","3000,00"
18.01.2015,9:00,"92,40","67,90","2300,00"
18.01.2015,10:00,"98,50","77,70","2500,00"
18.01.2015,11:00,"120,00","94,60","2600,00"
18.01.2015,12:00,"148,60","108,30","2700,00"
18.01.2015,13:00,"175,80","96,10","1900,00"
18.01.2015,14:00,"147,30","99,50","1800,00"
18.01.2015,15:00,"149,70","101,90","2000,00"
18.01.2015,16:00,"158,80","98,40","2100,00"
18.01.2015,17:00,"165,70","104,30","3300,00"
18.01.2015,18:00,"212,20","87,30","2500,00"
18.01.2015,19:00,"143,70","92,40","3200,00"
18.01.2015,20:00,"231,10","106,40","6400,00"
18.01.2015,21:00,"299,10","91,80","4000,00"
18.01.2015,22:00,"218,50","88,40","6200,00"
18.01.2015,23:00,"0,00","87,60","6300,00"
19.01.2015,0:00,"265,80","73,00","3400,00"
19.01.2015,1:00,"115,70","65,30","2200,00"
19.01.2015,2:00,"78,60","66,30","2600,00"
19.01.2015,3:00,"103,30","59,60","2300,00"
19.01.2015,4:00,"95,10","52,20","2600,00"
19.01.2015,5:00,"68,80","50,90","2100,00"
19.01.2015,6:00,"53,50","52,30","1600,00"
19.01.2015,7:00,"52,00","62,50","2000,00"
19.01.2015,8:00,"65,00","76,50","2500,00"
19.01.2015,9:00,"96,30","110,60","4700,00"
19.01.2015,10:00,"232,90","100,90","3400,00"
19.01.2015,11:00,"210,50","94,20","2700,00"
19.01.2015,12:00,"146,90","86,70","1600,00"
19.01.2015,13:00,"135,80","77,70","1200,00"
19.01.2015,14:00,"103,20","90,30","1400,00"
19.01.2015,15:00,"106,90","81,10","1300,00"
19.01.2015,16:00,"97,30","88,30","1300,00"
19.01.2015,17:00,"96,80","94,50","2000,00"
19.01.2015,18:00,"106,60","88,60","2900,00"
19.01.2015,19:00,"156,90","74,00","2900,00"
19.01.2015,20:00,"175,00","91,60","5100,00"
19.01.2015,21:00,"0,00","78,10","2300,00"
19.01.2015,22:00,"114,10","73,50","2000,00"
