Tarih,Zaman,PM10,NO2,O3
01.01.2015,0:00,"10,60","1,40","77,10"
01.01.2015,1:00,"11,10","2,30","72,50"
01.01.2015,2:00,"10,90","1,60","74,90"
01.01.2015,3:00,"12,80","1,10","77,30"
01.01.2015,4:00,"13,10","1,20","78,20"
01.01.2015,5:00,"11,00","1,10","78,90"
01.01.2015,6:00,"12,10","1,10","77,80"
01.01.2015,7:00,"13,40","1,10",
01.01.2015,8:00,"14,30","0,90","80,40"
01.01.2015,9:00,"13,20","0,90","77,70"
01.01.2015,10:00,"11,40",,"74,10"
01.01.2015,11:00,"10,60","1,40","73,20"
01.01.2015,12:00,"12,20","1,50","71,60"
01.01.2015,13:00,,,
01.01.2015,14:00,"0,00",,
01.01.2015,15:00,"10,68","1,20","74,50"
01.01.2015,16:00,"10,70","1,20","76,30"
01.01.2015,17:00,"8,30","1,00","78,40"
01.01.2015,18:00,"9,30","1,00","80,40"
01.01.2015,19:00,"10,10","1,10","81,20"
01.01.2015,20:00,"9,20","2,00","81,20"
01.01.2015,21:00,"11,10","2,00","81,70"
01.01.2015,22:00,"13,10","0,90","84,90"
01.01.2015,23:00,"13,80","0,80","85,50"
02.01.2015,0:00,"17,00","0,50","87,00"
02.01.2015,1:00,"17,60","0,40","86,50"
02.01.2015,2:00,"13,20","0,50","85,80"
02.01.2015,3:00,"12,10","0,60","85,20"
02.01.2015,4:00,"11,30","0,70","84,90"
02.01.2015,5:00,"13,10","1,10","84,80"
02.01.2015,6:00,"20,00","1,10","84,80"
02.01.2015,7:00,"21,30","1,00","84,70"
02.01.2015,8:00,"17,50","0,90","84,10"
02.01.2015,9:00,"11,90","1,00",
02.01.2015,10:00,"10,10","0,90","82,00"
02.01.2015,11:00,"12,10",,"81,40"
02.01.2015,12:00,"10,90","0,80","81,80"
02.01.2015,13:00,"9,70","1,10","82,30"
02.01.2015,14:00,"9,80","1,60","82,40"
02.01.2015,15:00,"13,90","1,80","83,30"
02.01.2015,16:00,"15,60","6,90","79,70"
02.01.2015,17:00,"18,80","16,00","71,10"
02.01.2015,18:00,"23,90","6,40","74,20"
02.01.2015,19:00,"19,60","6,00","71,10"
02.01.2015,20:00,"20,70","4,00","77,30"
02.01.2015,21:00,"19,40","5,30","77,50"
02.01.2015,22:00,"23,50","5,40","74,80"
02.01.2015,23:00,"24,00","3,50","74,70"
