Tarih,Zaman,PM10,SO2,NO2,O3
01.01.2015,0:00,"19,20","5,40","25,70","40,40"
01.01.2015,1:00,"17,10","5,90","20,20","46,80"
01.01.2015,2:00,"13,00","7,30","9,60","63,40"
01.01.2015,3:00,"16,60",,"21,70","52,70"
01.01.2015,4:00,"18,00","6,50","25,60","42,80"
01.01.2015,5:00,"16,10","6,00","17,70","50,00"
01.01.2015,6:00,"18,90","6,10","13,20","56,70"
01.01.2015,7:00,"15,80","5,80","13,00","57,70"
01.01.2015,8:00,"17,20","5,80","8,60",
01.01.2015,9:00,"15,10","6,00","11,10","61,80"
01.01.2015,10:00,"14,30","6,00",,"59,40"
01.01.2015,11:00,"18,20","6,50","15,10","53,50"
01.01.2015,12:00,"0,00",,,
01.01.2015,13:00,"0,00",,,"51,00"
01.01.2015,14:00,"15,08",,"15,70","48,10"
01.01.2015,15:00,"15,10",,"17,20","46,90"
01.01.2015,16:00,"20,20",,"15,90","49,90"
01.01.2015,17:00,"20,00",,"16,90","49,90"
01.01.2015,18:00,"16,50",,"16,10","51,80"
01.01.2015,19:00,"17,90",,"12,80","58,40"
01.01.2015,20:00,"22,10",,"11,30","61,60"
01.01.2015,21:00,"17,60",,"8,90","66,20"
01.01.2015,22:00,"13,90","3,60","8,70","67,30"
01.01.2015,23:00,"12,40","3,80","8,80","66,70"
02.01.2015,0:00,"14,10","3,90","6,60","71,20"
02.01.2015,1:00,"21,70","4,30","12,00","63,80"
02.01.2015,2:00,"18,00","4,50","9,40","66,00"
02.01.2015,3:00,"15,00","4,60","5,10","73,70"
02.01.2015,4:00,"12,40",,"8,00","72,00"
02.01.2015,5:00,"11,80","4,90","9,20","67,60"
02.01.2015,6:00,"9,90","5,10","10,00","65,70"
02.01.2015,7:00,"13,30","5,50","11,80","66,50"
02.01.2015,8:00,"17,40","6,10","13,60","60,20"
02.01.2015,9:00,"18,50","5,80","10,90",
02.01.2015,10:00,"24,20","6,50","11,00","65,00"
02.01.2015,11:00,"20,10","6,90",,"61,40"
02.01.2015,12:00,"29,60","8,60","21,00","58,00"
02.01.2015,13:00,"29,90","9,00","21,10","58,00"
02.01.2015,14:00,"31,80","9,30","22,40","55,20"
02.01.2015,15:00,"31,00","8,90","24,60","52,30"
02.01.2015,16:00,"31,40","3,70","23,50","53,30"
02.01.2015,17:00,"32,30","7,40","21,10","52,30"
02.01.2015,18:00,"40,20","9,50","23,50","53,40"
02.01.2015,19:00,"34,70","8,50","33,00","50,70"
02.01.2015,20:00,"36,60","8,30","35,50","40,30"
02.01.2015,21:00,"43,50","8,70","47,50","17,90"
02.01.2015,22:00,"51,50","8,40","59,90","5,60"
02.01.2015,23:00,"73,80","7,40","56,30","4,50"
03.01.2015,0:00,"81,20","8,30","56,40","4,30"
03.01.2015,1:00,"84,90","10,50","58,90","5,10"
03.01.2015,2:00,"81,00","9,80","53,80","3,30"
03.01.2015,3:00,"48,20","5,90","41,20","4,50"
03.01.2015,4:00,"40,80","5,80","45,40","5,80"
03.01.2015,5:00,"39,10",,"41,50","3,80"
03.01.2015,6:00,"36,50","7,60","42,20","3,10"
03.01.2015,7:00,"36,60","6,50","40,70","2,70"
03.01.2015,8:00,"42,10","7,60","41,50","3,00"
03.01.2015,9:00,"45,90","11,10","40,50","4,40"
03.01.2015,10:00,"51,00","17,50","45,30",
03.01.2015,11:00,"64,40","22,80","40,80","30,00"
03.01.2015,12:00,"45,40","28,90",,"47,30"
03.01.2015,13:00,"35,70","35,70","19,10","48,40"
03.01.2015,14:00,"49,40","65,40","27,40","39,60"
03.01.2015,15:00,"42,30","20,40","22,30","43,20"
03.01.2015,16:00,"46,80","12,80","13,20","50,80"
03.01.2015,17:00,"44,00","17,20","15,50","49,80"
03.01.2015,18:00,"38,10","16,40","19,50","46,30"
03.01.2015,19:00,"42,30","16,80","16,60","48,80"
03.01.2015,20:00,"35,60","21,20","20,20","49,30"
03.01.2015,21:00,"32,80","18,10","14,60","54,70"
03.01.2015,22:00,"36,90","27,40","18,80","48,20"
03.01.2015,23:00,"34,90","22,20","8,10","61,50"
04.01.2015,0:00,"35,10","24,30","10,80","60,80"
04.01.2015,1:00,"52,00","15,80","8,20","60,70"
04.01.2015,2:00,"32,30","12,50","4,80","65,30"
04.01.2015,3:00,"24,50","11,10","4,50","68,10"
04.01.2015,4:00,"27,60","11,40","7,80","59,90"
04.01.2015,5:00,"28,30","11,50","15,90","44,30"
04.01.2015,6:00,"30,60",,"37,50","13,40"
04.01.2015,7:00,"38,70","9,50","35,60","13,20"
04.01.2015,8:00,"36,70","9,80","36,70","13,70"
04.01.2015,9:00,"36,10","10,30","40,00","9,30"
04.01.2015,10:00,"42,80","10,50","34,90","10,20"
04.01.2015,11:00,"50,50","15,30","45,60",
04.01.2015,12:00,"53,50","18,50","50,30","12,70"
04.01.2015,13:00,"59,70","42,70",,"32,20"
04.01.2015,14:00,"60,70","34,20","26,20","64,10"
04.01.2015,15:00,"38,60","13,20","3,80","85,40"
04.01.2015,16:00,"27,10","17,30","16,60","70,30"
04.01.2015,17:00,"24,00","17,40","32,40","47,20"
04.01.2015,18:00,"38,60","11,60","34,00","41,40"
04.01.2015,19:00,"37,90","13,00","37,70","34,00"
04.01.2015,20:00,"43,60","14,20","38,80","30,70"
04.01.2015,21:00,"39,60","24,40","24,00","51,40"
04.01.2015,22:00,"30,40","25,00","16,50","53,20"
04.01.2015,23:00,"18,40","24,20","22,30","48,20"
05.01.2015,0:00,"27,10","13,60","18,50","49,40"
05.01.2015,1:00,"23,50","14,50","38,40","27,50"
05.01.2015,2:00,"25,00","13,40","39,40","27,80"
05.01.2015,3:00,"30,10","13,10","39,40","26,40"
05.01.2015,4:00,"29,60","9,00","23,70","42,20"
05.01.2015,5:00,"17,70","8,70","24,90","40,40"
05.01.2015,6:00,"26,60","7,80","26,80","33,50"
05.01.2015,7:00,"25,60",,"48,70","11,70"
05.01.2015,8:00,"25,40","6,90","62,70","7,10"
05.01.2015,9:00,"35,50","9,50","68,00","7,80"
05.01.2015,10:00,"51,80","8,20","27,40","50,30"
05.01.2015,11:00,"27,10","8,80","24,20","51,40"
05.01.2015,12:00,"16,30","10,70","11,50",
05.01.2015,13:00,"15,40","11,50","17,60","52,00"
05.01.2015,14:00,"30,30","8,90",,"50,30"
05.01.2015,15:00,"26,40","7,10","28,50","39,50"
05.01.2015,16:00,"32,70","7,80","27,10","40,00"
05.01.2015,17:00,"30,20","8,90","60,50","11,00"
05.01.2015,18:00,"49,90","12,20","64,90","5,50"
05.01.2015,19:00,"62,40","12,90","60,70","8,20"
05.01.2015,20:00,"56,90","11,30","38,80","33,50"
05.01.2015,21:00,"30,80","8,20","22,50","47,40"
05.01.2015,22:00,"25,60","7,80","16,30","56,90"
05.01.2015,23:00,"22,80","7,20","31,00","47,10"
06.01.2015,0:00,"25,70","8,70","25,90","53,70"
06.01.2015,1:00,"25,50","7,90","32,50","43,70"
06.01.2015,2:00,"23,50","9,10","30,50","43,40"
06.01.2015,3:00,"24,10","7,80","18,60","54,20"
06.01.2015,4:00,"18,20","7,60","17,10","55,40"
06.01.2015,5:00,"19,80","8,10","10,30","61,80"
06.01.2015,6:00,"19,30","6,90","10,30","62,00"
06.01.2015,7:00,"12,90","6,50","6,40","62,20"
06.01.2015,8:00,"12,20",,"14,60","53,00"
06.01.2015,9:00,"27,30","6,40","24,90","45,20"
06.01.2015,10:00,"18,70","7,20","33,90","35,70"
06.01.2015,11:00,"34,80","7,30","24,80","44,80"
06.01.2015,12:00,"20,90","7,50","26,60","45,20"
06.01.2015,13:00,"22,30","10,50","19,50",
06.01.2015,14:00,"33,50","10,20","14,60","62,60"
06.01.2015,15:00,"9,50","8,30",,"62,70"
06.01.2015,16:00,"16,10","7,10","17,10","59,60"
06.01.2015,17:00,"20,40","6,70","15,90","60,60"
06.01.2015,18:00,"20,10","11,80","31,90","36,80"
06.01.2015,19:00,"56,40","19,50","26,40","43,80"
06.01.2015,20:00,"32,40","12,80","15,10","56,70"
06.01.2015,21:00,"24,90","13,90","14,80","57,60"
06.01.2015,22:00,"22,30","10,00","16,70","52,70"
06.01.2015,23:00,"18,50","9,80","11,20","58,80"
07.01.2015,0:00,"15,70","8,10","18,40","49,00"
07.01.2015,1:00,"17,60","7,30","19,60","52,60"
07.01.2015,2:00,"13,40","6,70","5,70","64,80"
07.01.2015,3:00,"12,80","6,00","5,30","60,60"
07.01.2015,4:00,"17,00","6,00","5,80","63,00"
07.01.2015,5:00,"17,20",,"6,10","62,20"
07.01.2015,6:00,,,,
07.01.2015,7:00,,,,
07.01.2015,8:00,,,,
07.01.2015,9:00,,,,
07.01.2015,10:00,,,,
07.01.2015,11:00,,,,
07.01.2015,12:00,,,,
07.01.2015,13:00,,,,
07.01.2015,14:00,,,,
07.01.2015,15:00,"0,00",,,
07.01.2015,16:00,,,,
07.01.2015,17:00,,,,
07.01.2015,18:00,,,,
07.01.2015,19:00,,,,
07.01.2015,20:00,,,,
07.01.2015,21:00,,,,
07.01.2015,22:00,,,,
07.01.2015,23:00,,,,
08.01.2015,0:00,,,,
08.01.2015,1:00,,,,
08.01.2015,2:00,,,,
08.01.2015,3:00,,,,
08.01.2015,4:00,,,,
08.01.2015,5:00,,,,
08.01.2015,6:00,,,,
08.01.2015,7:00,,,,
08.01.2015,8:00,,,,
08.01.2015,9:00,,,,
08.01.2015,10:00,,,,
08.01.2015,11:00,,,,
08.01.2015,12:00,,,,
08.01.2015,13:00,,,,
08.01.2015,14:00,,,,
08.01.2015,15:00,,,,
08.01.2015,16:00,,,,
08.01.2015,17:00,,,,
08.01.2015,18:00,,,,
08.01.2015,19:00,,,,
08.01.2015,20:00,,,,
08.01.2015,21:00,,,,
08.01.2015,22:00,,,,
08.01.2015,23:00,,,,
09.01.2015,0:00,,,,
09.01.2015,1:00,"0,00",,,
09.01.2015,2:00,"0,00",,,
09.01.2015,3:00,"21,74",,"45,80","17,70"
09.01.2015,4:00,"21,70",,"46,50","17,60"
09.01.2015,5:00,"23,60",,"56,60","10,80"
09.01.2015,6:00,"27,00",,"54,60","14,20"
09.01.2015,7:00,"21,80",,"45,40","21,70"
09.01.2015,8:00,"25,80",,"62,00","7,60"
09.01.2015,9:00,"33,50",,"65,90","7,00"
09.01.2015,10:00,"37,80",,"40,50","32,60"
09.01.2015,11:00,"29,90",,"29,80","47,80"
09.01.2015,12:00,"18,66",,,
09.01.2015,13:00,"18,80",,"10,30","71,10"
09.01.2015,14:00,"19,40",,"21,10","65,20"
09.01.2015,15:00,"16,20",,"34,60",
09.01.2015,16:00,"25,78",,,
09.01.2015,17:00,"29,60",,"43,20","36,70"
09.01.2015,18:00,"30,60",,"39,60","40,60"
09.01.2015,19:00,"27,30",,"42,00","39,20"
09.01.2015,20:00,"33,10",,"39,00","46,70"
09.01.2015,21:00,"32,60",,"46,90","38,80"
09.01.2015,22:00,"31,30","171,10","41,60","46,20"
09.01.2015,23:00,"33,80","96,10","38,50","52,70"
10.01.2015,0:00,"29,70","101,50","36,50","52,80"
10.01.2015,1:00,"27,30","105,40","42,80","44,40"
10.01.2015,2:00,"29,40","31,70","20,30","72,50"
10.01.2015,3:00,"21,10","17,30","8,50","83,80"
10.01.2015,4:00,"15,50","21,20","12,60","76,80"
10.01.2015,5:00,"19,00","19,40","14,20","74,50"
10.01.2015,6:00,"27,30","25,00","11,50","83,90"
10.01.2015,7:00,"21,70","18,00","11,70","82,00"
10.01.2015,8:00,"13,80","40,60","27,00","67,50"
10.01.2015,9:00,"19,20","75,30","37,00","52,60"
10.01.2015,10:00,"22,50","51,20","29,30","69,50"
10.01.2015,11:00,"22,50","13,70","5,90","86,60"
10.01.2015,12:00,"20,12",,,
10.01.2015,13:00,"23,60","11,40","3,80","73,00"
10.01.2015,14:00,"19,20","10,20","4,80","76,70"
10.01.2015,15:00,"24,50","27,40","31,70","48,00"
10.01.2015,16:00,"28,40","10,20","45,70",
10.01.2015,17:00,"26,90",,"63,50","18,00"
10.01.2015,18:00,"36,20","38,60","59,20","16,70"
10.01.2015,19:00,"43,90","18,60","71,00","6,90"
10.01.2015,20:00,"63,30","22,80",,"8,10"
10.01.2015,21:00,"103,90","16,50","72,80","7,90"
10.01.2015,22:00,"114,70","13,60","66,60","6,40"
10.01.2015,23:00,"112,90","11,00","61,00","6,70"
11.01.2015,0:00,"113,70","11,10","66,20","8,10"
11.01.2015,1:00,"126,90","7,60","55,90","6,00"
11.01.2015,2:00,"92,40","7,10","54,00","5,90"
11.01.2015,3:00,"86,30","6,50","47,50","5,70"
11.01.2015,4:00,"73,80","6,30","51,70","5,80"
11.01.2015,5:00,"76,50","6,60","51,90","5,20"
11.01.2015,6:00,"68,20","6,70","52,80","5,10"
11.01.2015,7:00,"70,80","6,10","53,20","5,20"
11.01.2015,8:00,"71,00","5,70","49,70","5,20"
11.01.2015,9:00,"69,30","6,10","59,60","5,70"
11.01.2015,10:00,"76,30","12,00","54,30","8,10"
11.01.2015,11:00,"67,70","46,00","57,30","15,60"
11.01.2015,12:00,"57,80","74,10","39,60","35,60"
11.01.2015,13:00,"43,80","73,30","25,80","50,50"
11.01.2015,14:00,"33,40","189,90","40,60","43,40"
11.01.2015,15:00,"36,70","62,10","15,90","69,30"
11.01.2015,16:00,"27,40","43,20","25,50","60,40"
11.01.2015,17:00,"28,70","26,20","26,00",
11.01.2015,18:00,"42,20",,"42,90","38,90"
11.01.2015,19:00,"43,50","43,50","46,70","34,20"
11.01.2015,20:00,"44,60","45,60","74,40","11,10"
11.01.2015,21:00,"71,00","34,90",,"6,70"
11.01.2015,22:00,"76,90","30,70","69,50","9,70"
11.01.2015,23:00,"67,40","31,20","42,10","30,70"
12.01.2015,0:00,"51,80","111,40","60,30","12,40"
12.01.2015,1:00,"38,80","120,80","56,60","15,10"
12.01.2015,2:00,"26,00","48,40","25,90","52,60"
12.01.2015,3:00,"23,20","21,80","3,70","77,70"
12.01.2015,4:00,"16,40","21,50","8,90","67,70"
12.01.2015,5:00,"21,30","19,60","9,70","63,20"
12.01.2015,6:00,"21,30","18,30","30,00","37,00"
12.01.2015,7:00,"23,90","18,50","35,90","36,10"
12.01.2015,8:00,"23,30","15,70","24,00","52,80"
12.01.2015,9:00,"28,70","41,90","40,40","35,80"
12.01.2015,10:00,"33,30","11,70","24,40","50,00"
12.01.2015,11:00,"28,30","5,80","9,20","64,30"
12.01.2015,12:00,"17,90","3,70","9,50","62,80"
12.01.2015,13:00,"13,60","4,30","19,00","52,20"
12.01.2015,14:00,"19,80","3,50","27,00","39,10"
12.01.2015,15:00,"20,50","4,50","43,40","20,90"
12.01.2015,16:00,"25,60","5,20","65,60","4,70"
12.01.2015,17:00,"43,80","4,70","68,50","5,30"
12.01.2015,18:00,"56,70","4,00","62,10",
12.01.2015,19:00,"33,60",,"62,90","3,70"
12.01.2015,20:00,"41,70","4,30","66,00","3,50"
12.01.2015,21:00,"41,70","5,50","72,50","3,30"
12.01.2015,22:00,"38,00","4,10",,"3,40"
12.01.2015,23:00,"55,60","3,50","70,20","4,40"
13.01.2015,0:00,"41,80","3,00","66,70","4,70"
13.01.2015,1:00,"36,70","3,30","61,40","7,30"
13.01.2015,2:00,"29,00","3,40","59,10","11,30"
13.01.2015,3:00,"28,60","2,40","32,40","36,80"
13.01.2015,4:00,"28,60","2,90","24,70","41,40"
13.01.2015,5:00,"22,60","2,60","33,40","29,70"
13.01.2015,6:00,"31,00","2,20","24,00","44,90"
13.01.2015,7:00,"20,30","2,30","17,30","51,20"
13.01.2015,8:00,"22,50","2,80","18,30","48,60"
13.01.2015,9:00,"23,10","3,60","41,80","21,10"
13.01.2015,10:00,"29,10","5,50","53,90","14,70"
13.01.2015,11:00,"40,10","8,80","55,30","17,10"
13.01.2015,12:00,"44,10","9,00","47,60","25,10"
13.01.2015,13:00,"40,20","11,20","46,50","31,10"
13.01.2015,14:00,"43,60","8,50","29,00","46,80"
13.01.2015,15:00,"36,70","7,40","25,20","46,70"
13.01.2015,16:00,"33,50","6,70","50,30","20,20"
13.01.2015,17:00,"49,50","7,30","60,20","11,00"
13.01.2015,18:00,"53,90","7,50","66,70","6,70"
13.01.2015,19:00,"64,00","7,30","61,90",
13.01.2015,20:00,"66,30",,"67,00","5,80"
13.01.2015,21:00,"66,60","8,50","65,10","4,70"
13.01.2015,22:00,"70,30","9,10","61,10","5,30"
13.01.2015,23:00,"77,70","8,90",,"4,40"
14.01.2015,0:00,"60,80","8,00","53,70","5,40"
14.01.2015,1:00,"65,00","8,00","52,10","5,10"
14.01.2015,2:00,"69,70","7,60","54,40","5,70"
14.01.2015,3:00,"68,50","6,60","51,90","5,70"
14.01.2015,4:00,"80,60","5,90","50,30","5,00"
14.01.2015,5:00,"70,20","7,30","50,10","4,80"
14.01.2015,6:00,"69,90","5,40","45,40","3,30"
14.01.2015,7:00,"72,90","4,80","44,00","2,90"
14.01.2015,8:00,"63,60","5,70","44,20","3,30"
14.01.2015,9:00,"71,90","11,30","48,30","5,70"
14.01.2015,10:00,"82,74",,,
14.01.2015,11:00,"89,80","14,50","60,00","17,30"
14.01.2015,12:00,"94,50","12,40","46,90","32,60"
14.01.2015,13:00,"69,00","13,00","45,60","43,70"
14.01.2015,14:00,"68,20","21,90","41,10","47,80"
14.01.2015,15:00,"43,20","12,20","30,20","50,90"
14.01.2015,16:00,"34,50","23,00","32,00","49,70"
14.01.2015,17:00,"51,30","24,30","63,80","15,80"
14.01.2015,18:00,"97,50","25,90","79,40","7,80"
14.01.2015,19:00,"126,60","14,30","67,90","6,70"
14.01.2015,20:00,"109,40","11,40","64,40","6,50"
14.01.2015,21:00,"105,20","14,10","67,30","6,90"
14.01.2015,22:00,"101,00","10,70","57,50","6,80"
14.01.2015,23:00,"91,50","10,00","56,70","6,30"
15.01.2015,0:00,"91,60","10,00","54,50","4,80"
