Tarih,Zaman,PM10,NO2,SO2
05.01.2015,14:00,"1,00","33,12","9,76"
05.01.2015,15:00,"0,00","44,55","10,11"
05.01.2015,16:00,"5,79","47,67","9,89"
05.01.2015,17:00,"15,46","43,84","9,80"
05.01.2015,18:00,"17,55","19,85","9,42"
05.01.2015,19:00,"14,50","24,02","9,22"
05.01.2015,20:00,"9,91","19,49","9,25"
05.01.2015,21:00,"8,84","24,73","9,14"
05.01.2015,22:00,"7,40","24,30","9,06"
05.01.2015,23:00,"5,68","26,29","9,00"
06.01.2015,0:00,"8,50","19,74","8,94"
06.01.2015,1:00,"12,46","26,20","8,94"
06.01.2015,2:00,"17,83","28,31","9,13"
06.01.2015,3:00,"7,35","2,72","9,01"
06.01.2015,4:00,"7,58","1,74","8,69"
06.01.2015,5:00,"2,50","1,89","8,82"
06.01.2015,6:00,"3,03","3,99","8,72"
06.01.2015,7:00,"1,46","4,39","9,02"
06.01.2015,8:00,"3,00","11,32","8,94"
06.01.2015,9:00,"8,93","16,57","9,12"
06.01.2015,10:00,"2,28","10,56","9,16"
06.01.2015,11:00,"3,42","11,28","9,05"
06.01.2015,12:00,"6,47","12,48","8,90"
06.01.2015,13:00,"6,65","8,78","8,90"
06.01.2015,14:00,"7,82","12,48","8,94"
06.01.2015,15:00,"7,40","12,47","8,95"
06.01.2015,16:00,"7,53","9,84","8,97"
06.01.2015,17:00,"2,61","10,78","8,97"
06.01.2015,18:00,"2,58","6,99","8,95"
06.01.2015,19:00,"3,14","4,99","8,80"
06.01.2015,20:00,"2,66","6,48","8,97"
06.01.2015,21:00,"4,89","3,84","8,78"
06.01.2015,22:00,"2,92","4,35","9,13"
06.01.2015,23:00,"13,95","4,91","8,84"
07.01.2015,0:00,"6,00","2,11","8,65"
07.01.2015,1:00,"2,21","1,73","8,55"
07.01.2015,2:00,"4,50","3,32","8,51"
07.01.2015,3:00,"4,59","2,32","8,57"
07.01.2015,4:00,"9,96","1,67","8,75"
07.01.2015,5:00,"7,83","1,93","8,77"
07.01.2015,6:00,"8,99","2,10","9,21"
07.01.2015,7:00,"12,16","3,04","8,86"
07.01.2015,8:00,"12,89","5,84","9,02"
07.01.2015,9:00,"10,14","7,59","8,71"
07.01.2015,10:00,"6,06","6,49","8,96"
07.01.2015,11:00,"4,54","7,50","8,91"
07.01.2015,12:00,"12,96","8,47","8,76"
07.01.2015,13:00,"7,56","8,76","8,94"
07.01.2015,14:00,"14,26","9,53","8,85"
07.01.2015,15:00,"13,95","10,43","8,98"
07.01.2015,16:00,"11,06","10,23","8,78"
07.01.2015,17:00,"9,65","11,97","8,94"
07.01.2015,18:00,"4,00","7,54","8,93"
07.01.2015,19:00,"8,37","4,72","8,93"
07.01.2015,20:00,"1,65","3,61","9,01"
07.01.2015,21:00,"9,60","9,95","8,92"
07.01.2015,22:00,"10,77","10,90","8,70"
07.01.2015,23:00,"11,43","26,12","8,99"
08.01.2015,0:00,"10,48","23,91","9,28"
08.01.2015,1:00,"6,74","26,52","8,93"
08.01.2015,2:00,"10,91","23,00","9,17"
08.01.2015,3:00,"15,45","25,04","9,38"
08.01.2015,4:00,"15,40","32,33","15,00"
08.01.2015,5:00,"15,44","29,27","14,08"
08.01.2015,6:00,"15,95","27,40","13,29"
08.01.2015,7:00,"17,82","40,34","14,41"
08.01.2015,8:00,"18,02","54,19","12,42"
08.01.2015,9:00,"27,03","52,41","13,11"
08.01.2015,10:00,"37,82","49,88","16,54"
08.01.2015,11:00,"31,20","48,42","56,64"
08.01.2015,12:00,"43,06","26,16","30,76"
08.01.2015,13:00,"10,93","26,72","28,02"
08.01.2015,14:00,"11,11","21,47","14,98"
08.01.2015,15:00,"25,69","25,06","11,28"
08.01.2015,16:00,"20,16","19,91","10,30"
08.01.2015,17:00,"22,41","13,60","9,94"
08.01.2015,18:00,"12,36","33,31","9,77"
08.01.2015,19:00,"14,53","35,84","9,75"
08.01.2015,20:00,"27,77","37,83","11,34"
