Tarih,Zaman,PM10,SO2,NO2,O3
01.01.2015,0:00,"21,40","1,70","41,30","23,50"
01.01.2015,1:00,"22,10","2,30","29,50","37,10"
01.01.2015,2:00,"6,40","2,40","14,70","55,80"
01.01.2015,3:00,"2,90","2,10","12,00","57,50"
01.01.2015,4:00,"6,30","1,80","11,20","57,90"
01.01.2015,5:00,"7,60","1,90","9,00","60,00"
01.01.2015,6:00,"9,50","1,70","9,30","60,20"
01.01.2015,7:00,"6,90","2,00","11,10","62,50"
01.01.2015,8:00,"9,20",,"11,90","61,10"
01.01.2015,9:00,"7,80","1,90","19,80","51,70"
01.01.2015,10:00,"5,50","1,20","21,50","48,90"
01.01.2015,11:00,"11,50","1,10",,"51,80"
01.01.2015,12:00,"14,60","1,50","19,70","53,70"
01.01.2015,13:00,"13,90","2,80","30,20","42,60"
01.01.2015,14:00,"18,40","2,40","29,90","45,10"
01.01.2015,15:00,"20,10","2,50","23,90","48,00"
01.01.2015,16:00,"16,10","2,00","30,10","41,80"
01.01.2015,17:00,"14,20","1,70","28,30","41,90"
01.01.2015,18:00,"12,00","2,00","29,80","38,20"
01.01.2015,19:00,"16,40","2,30","29,00","40,00"
01.01.2015,20:00,"17,10","2,10","29,10","37,00"
01.01.2015,21:00,"19,30","1,30","20,80","47,30"
01.01.2015,22:00,"14,90","1,30","21,60","53,10"
01.01.2015,23:00,"16,30","2,40","17,90","60,20"
02.01.2015,0:00,"9,40","2,30","12,80","64,00"
02.01.2015,1:00,"15,10","1,90","18,70","57,70"
02.01.2015,2:00,"14,20","2,50","13,80","62,80"
02.01.2015,3:00,"12,10","0,90","6,50","69,80"
02.01.2015,4:00,"9,50","1,00","7,50","72,00"
02.01.2015,5:00,"8,40","2,00","11,20","68,30"
02.01.2015,6:00,"5,30","2,00","5,60","75,50"
02.01.2015,7:00,"3,00","0,80","6,40","74,10"
02.01.2015,8:00,"6,10","0,90","18,60","58,30"
02.01.2015,9:00,"9,10",,"27,60","49,90"
02.01.2015,10:00,"14,00","1,50","19,30","59,20"
02.01.2015,11:00,"14,40","2,00","17,80","63,60"
02.01.2015,12:00,"22,20","2,30",,"68,40"
02.01.2015,13:00,"16,00","2,70","12,20","68,70"
02.01.2015,14:00,"14,30","2,40","17,10","62,20"
02.01.2015,15:00,"16,20","3,20","22,20","56,80"
02.01.2015,16:00,"17,70","3,60","18,10","60,70"
02.01.2015,17:00,"21,00","2,70","24,60","50,80"
02.01.2015,18:00,"25,80","2,90","17,10","60,90"
02.01.2015,19:00,"27,20","2,70","27,70","47,90"
02.01.2015,20:00,"22,50","3,10","50,30","21,00"
02.01.2015,21:00,"30,00","3,50","41,70","18,50"
02.01.2015,22:00,"36,00","2,20","42,10","16,90"
02.01.2015,23:00,"33,90","3,20","46,40","10,40"
03.01.2015,0:00,"41,20","3,00","36,50","17,00"
03.01.2015,1:00,"31,70","2,90","20,60","47,90"
03.01.2015,2:00,"18,80","2,70","31,20","26,40"
03.01.2015,3:00,"27,20","1,50","26,70","24,40"
03.01.2015,4:00,"19,80","1,50","33,10","13,80"
03.01.2015,5:00,"21,30","2,30","31,00","14,50"
03.01.2015,6:00,"19,70","1,80","34,30","11,00"
03.01.2015,7:00,"22,00","1,60","24,70","23,20"
03.01.2015,8:00,"15,40","1,10","40,60","6,40"
03.01.2015,9:00,"30,10","1,70","48,20","11,90"
03.01.2015,10:00,"37,60",,"47,40","18,90"
03.01.2015,11:00,"39,30","6,50","31,70","43,10"
03.01.2015,12:00,"25,60","6,30","15,50","62,80"
03.01.2015,13:00,"25,00","5,30",,"53,40"
03.01.2015,14:00,"27,40","7,50","19,00","54,00"
03.01.2015,15:00,"32,00","7,70","16,70","52,60"
03.01.2015,16:00,"38,20","8,40","18,80","50,00"
03.01.2015,17:00,"26,70","8,50","13,70","56,00"
03.01.2015,18:00,"25,70","9,50","13,00","56,70"
03.01.2015,19:00,"24,10","10,70","11,20","60,00"
03.01.2015,20:00,"26,20","10,90","13,30","58,10"
